Stock,SecurityName,Sector,Industry,MarketCapCr,MarketCapType
20MICRONS,20 MICRONS LTD,Basic Materials,Other Industrial Metals & Mining,672.1,Micro Cap
21STCENMGM,21ST CENTURY MGMT SERVICE,Financial Services,Capital Markets,46.88,Micro Cap
360ONE,360 ONE WAM LIMITED,Financial Services,Asset Management,46549.23,Small Cap
3IINFOLTD,3I INFOTECH LIMITED,Technology,Information Technology Services,315.45,Micro Cap
3MINDIA,3M INDIA LIMITED,Industrials,Conglomerates,39917.78,Small Cap
3PLAND,3P LAND HOLDINGS LIMITED,Unknown,Unknown,67.09,Micro Cap
5PAISA,5PAISA CAPITAL LIMITED,Financial Services,Capital Markets,1195.02,Micro Cap
63MOONS,63 MOONS TECHNOLOGIES LTD,Technology,Software - Application,3126.66,Micro Cap
A2ZINFRA,A2Z INFRA ENGINEERING LTD,Industrials,Engineering & Construction,263.65,Micro Cap
AAATECH,AAA TECHNOLOGIES LIMITED ,Technology,Information Technology Services,150.57,Micro Cap
AADHARHFC,AADHAR HOUSING FINANCE L ,Financial Services,Mortgage Finance,20713.77,Small Cap
AAKASH,AAKASH EXPLORATION SER L ,Energy,Oil & Gas Equipment & Services,86.37,Micro Cap
AAREYDRUGS,AAREY DRUGS & PHARM LTD  ,Healthcare,Drug Manufacturers - Specialty & Generic,182.52,Micro Cap
AARON,AARON INDUSTRIES LIMITED ,Industrials,Specialty Industrial Machinery,349.55,Micro Cap
AARTECH,AARTECH SOLONICS LIMITED ,Industrials,Electrical Equipment & Parts,163.87,Micro Cap
AARTIDRUGS,AARTI DRUGS LTD.         ,Healthcare,Drug Manufacturers - Specialty & Generic,3567.29,Micro Cap
AARTIIND,AARTI INDUSTRIES LTD     ,Basic Materials,Specialty Chemicals,13125.9,Small Cap
AARTIPHARM,AARTI PHARMALABS LIMITED ,Healthcare,Drug Manufacturers - Specialty & Generic,7177.91,Small Cap
AARTISURF,AARTI SURFACTANTS LIMITED,Basic Materials,Specialty Chemicals,321.47,Micro Cap
AARVI,AARVI ENCON LIMITED      ,Industrials,Staffing & Employment Services,189.61,Micro Cap
AAVAS,AAVAS FINANCIERS LIMITED ,Financial Services,Mortgage Finance,11430.35,Small Cap
ABB,ABB INDIA LIMITED        ,Industrials,Specialty Industrial Machinery,104576.78,Mid Cap
ABBOTINDIA,ABBOTT INDIA LIMITED     ,Healthcare,Drug Manufacturers - Specialty & Generic,59243.05,Mid Cap
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,Financial Services,Financial Conglomerates,93850.82,Mid Cap
ABCOTS,A B COTSPIN INDIA LIMITED,Consumer Cyclical,Textile Manufacturing,905.34,Micro Cap
ABDL,ALLIED BLEND N DISTILS L ,Consumer Defensive,Beverages - Wineries & Distilleries,13290.43,Small Cap
ABFRL,ADITYA BIRLA FASHION & RT,Consumer Cyclical,Apparel Manufacturing,8885.19,Small Cap
ABINFRA,A B INFRABUILD LIMITED   ,Industrials,Engineering & Construction,1239.89,Micro Cap
ABLBL,ADITYA BIRLA LIFES BRAN L,Consumer Cyclical,Apparel Retail,14377.54,Small Cap
ABMINTLLTD,ABM INTERNATIONAL LTD    ,Basic Materials,Specialty Chemicals,34.67,Micro Cap
ABREL,ADITYA BIRLA REAL EST LTD,Real Estate,Real Estate Services,17119.6,Small Cap
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,Financial Services,Asset Management,23402.52,Small Cap
ACC,ACC LIMITED              ,Basic Materials,Building Materials,32451.52,Small Cap
ACCELYA,ACCELYA SOLN INDIA LTD   ,Technology,Information Technology Services,2003.1,Micro Cap
ACCURACY,ACCURACY SHIPPING LIMITED,Industrials,Integrated Freight & Logistics,81.0,Micro Cap
ACE,ACTION CONST EQUIP LTD   ,Industrials,Farm & Heavy Construction Machinery,10414.42,Small Cap
ACEINTEG,ACE INTEGRATED SOLU. LTD.,Industrials,Staffing & Employment Services,20.97,Micro Cap
ACI,ARCHEAN CHEMICAL IND LTD ,Basic Materials,Chemicals,6302.55,Small Cap
ACL,ANDHRA CEMENTS LIMITED   ,Basic Materials,Building Materials,610.55,Micro Cap
ACMESOLAR,ACME SOLAR HOLDINGS LTD  ,Utilities,Utilities - Renewable,13438.64,Small Cap
ACUTAAS,ACUTAAS CHEMICALS LIMITED,Basic Materials,Specialty Chemicals,13999.96,Small Cap
ADANIENSOL,ADANI ENERGY SOLUTION LTD,Utilities,Utilities - Independent Power Producers,110830.34,Mid Cap
ADANIENT,ADANI ENTERPRISES LIMITED,Energy,Thermal Coal,248529.74,Large Cap
ADANIGREEN,ADANI GREEN ENERGY LTD   ,Utilities,Utilities - Renewable,154060.39,Mid Cap
ADANIPORTS,ADANI PORT & SEZ LTD     ,Industrials,Marine Shipping,308899.87,Large Cap
ADANIPOWER,ADANI POWER LTD          ,Utilities,Utilities - Independent Power Producers,275327.59,Large Cap
ADFFOODS,ADF FOODS LIMITED        ,Consumer Defensive,Packaged Foods,2126.96,Micro Cap
ADL,ARCHIDPLY DECOR LIMITED  ,Consumer Cyclical,"Furnishings, Fixtures & Appliances",41.53,Micro Cap
ADOR,ADOR WELDING LTD         ,Industrials,Specialty Industrial Machinery,1745.5,Micro Cap
ADROITINFO,ADROIT INFOTECH LIMITED  ,Technology,Information Technology Services,54.34,Micro Cap
ADSL,ALLIED DIGITAL SERV. LTD ,Technology,Information Technology Services,736.55,Micro Cap
ADVANCE,ADVANCE AGROLIFE LIMITED ,Basic Materials,Agricultural Inputs,796.5,Micro Cap
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD ,Consumer Cyclical,Lodging,509.15,Micro Cap
ADVENTHTL,ADVENT HOTELS INTERNATI L,Consumer Cyclical,Resorts & Casinos,1173.96,Micro Cap
ADVENZYMES,ADVANCED ENZYME TECH LTD ,Basic Materials,Specialty Chemicals,3158.57,Micro Cap
AEGISLOG,AEGIS LOGISTICS LIMITED  ,Energy,Oil & Gas Refining & Marketing,25333.42,Small Cap
AEGISVOPAK,AEGIS VOPAK TERMINALS LTD,Energy,Oil & Gas Equipment & Services,25048.36,Small Cap
AEQUS,AEQUS LIMITED            ,Industrials,Aerospace & Defense,9232.38,Small Cap
AEROENTER,AEROFLEX ENTERPRISES LTD ,Basic Materials,Steel,900.84,Micro Cap
AEROFLEX,AEROFLEX INDUSTRIES LTD  ,Industrials,Metal Fabrication,2282.38,Micro Cap
AERONEU,AEROFLEX NEU LIMITED     ,Consumer Cyclical,Packaging & Containers,186.32,Micro Cap
AETHER,AETHER INDUSTRIES LIMITED,Basic Materials,Specialty Chemicals,13209.56,Small Cap
AFCONS,AFCONS INFRASTRUCTURE LTD,Industrials,Engineering & Construction,13159.33,Small Cap
AFFLE,AFFLE 3I LIMITED,Communication Services,Advertising Agencies,24399.35,Small Cap
AFFORDABLE,AFFORD ROBO & AUTO LTD   ,Industrials,Specialty Industrial Machinery,207.36,Micro Cap
AFIL,AKME FINTRADE (INDIA) LTD,Financial Services,Credit Services,242.39,Micro Cap
AFSL,ABANS FINANCIAL SRVCS LTD,Financial Services,Capital Markets,1021.48,Micro Cap
AGARIND,AGARWAL INDS CORP LTD.   ,Basic Materials,Specialty Chemicals,1044.2,Micro Cap
AGARWALEYE,DR AGARWALS HEALTH CARE L,Healthcare,Medical Instruments & Supplies,15582.98,Small Cap
AGI,AGI GREENPAC LIMITED     ,Consumer Cyclical,Packaging & Containers,4410.74,Micro Cap
AGIIL,AGI INFRA LIMITED        ,Real Estate,Real Estate - Development,3482.99,Micro Cap
AGROPHOS,AGRO PHOS INDIA LIMITED  ,Basic Materials,Agricultural Inputs,79.07,Micro Cap
AHCL,ANLON HEALTHCARE LIMITED ,Healthcare,Drug Manufacturers - Specialty & Generic,728.55,Micro Cap
AHLADA,AHLADA ENGINEERS LIMITED ,Industrials,Building Products & Equipment,67.96,Micro Cap
AHLEAST,ASIAN HOTELS (EAST) LTD  ,Consumer Cyclical,Lodging,229.98,Micro Cap
AHLUCONT,AHLUWALIA CONT IND LTD   ,Industrials,Engineering & Construction,5999.41,Small Cap
AIAENG,AIA ENGINEERING LIMITED  ,Industrials,Specialty Industrial Machinery,36725.3,Small Cap
AIIL,AUTHUM INVEST & INFRA LTD,Financial Services,Capital Markets,56600.88,Mid Cap
AIRAN,AIRAN LIMITED            ,Technology,Information Technology Services,207.28,Micro Cap
AIROLAM,AIRO LAM LIMITED         ,Consumer Cyclical,"Furnishings, Fixtures & Appliances",141.21,Micro Cap
AJANTPHARM,AJANTA PHARMA LIMITED    ,Healthcare,Drug Manufacturers - Specialty & Generic,33812.58,Small Cap
AJAXENGG,AJAX ENGINEERING LIMITED ,Industrials,Farm & Heavy Construction Machinery,6524.05,Small Cap
AJMERA,AJMERA REALTY & INF I LTD,Real Estate,Real Estate - Development,3641.7,Micro Cap
